Episode,Reward,Pre,True,Probabilities,Steps
153.0,184.0,1.0,1.0,0.5786161422729492,12.0
154.0,200.0,0.0,0.0,0.004914459306746721,200.0
155.0,182.0,1.0,1.0,0.5780414342880249,9.0
156.0,200.0,0.0,0.0,0.0012717988574877381,200.0
157.0,198.0,1.0,1.0,0.6206637620925903,9.0
158.0,200.0,0.0,0.0,0.018756160512566566,200.0
159.0,200.0,0.0,0.0,0.006894177291542292,200.0
160.0,200.0,0.0,0.0,0.1224721148610115,200.0
161.0,151.0,1.0,1.0,0.5329309701919556,11.0
162.0,200.0,0.0,0.0,0.001241339836269617,200.0
163.0,200.0,0.0,0.0,0.0033238145988434553,200.0
164.0,173.0,1.0,1.0,0.6054244041442871,9.0
165.0,200.0,0.0,0.0,0.006818798836320639,200.0
166.0,184.0,1.0,1.0,0.5786161422729492,12.0
167.0,200.0,0.0,0.0,0.0012717988574877381,200.0
168.0,186.0,1.0,1.0,0.5512039661407471,9.0
169.0,187.0,1.0,1.0,0.5276595950126648,12.0
170.0,198.0,1.0,1.0,0.5767038464546204,8.0
171.0,185.0,1.0,1.0,0.5738744735717773,10.0
172.0,200.0,0.0,0.0,0.002044087275862694,200.0
173.0,200.0,0.0,0.0,0.022667324170470238,200.0
174.0,200.0,1.0,0.0,0.6381934285163879,5.0
175.0,200.0,0.0,0.0,0.0033238145988434553,200.0
176.0,200.0,0.0,0.0,0.0053679123520851135,200.0
177.0,177.0,1.0,1.0,0.6207972764968872,9.0
178.0,151.0,1.0,1.0,0.5689293742179871,10.0
179.0,200.0,0.0,0.0,0.0013889557449147105,200.0
180.0,166.0,1.0,1.0,0.5343983769416809,11.0
181.0,200.0,0.0,0.0,0.006818798836320639,200.0
182.0,182.0,1.0,1.0,0.5093995332717896,7.0
183.0,200.0,1.0,0.0,0.5194400548934937,6.0
184.0,200.0,1.0,0.0,0.6188711524009705,8.0
185.0,200.0,0.0,0.0,0.0013283025473356247,200.0
186.0,135.0,1.0,1.0,0.6417228579521179,11.0
187.0,174.0,1.0,1.0,0.5932154655456543,10.0
188.0,167.0,1.0,1.0,0.611173152923584,10.0
189.0,200.0,0.0,0.0,0.05485223978757858,200.0
190.0,200.0,0.0,0.0,0.001338636502623558,200.0
191.0,200.0,0.0,0.0,0.003709807526320219,200.0
192.0,189.0,1.0,1.0,0.5856559872627258,10.0
193.0,161.0,1.0,1.0,0.5626222491264343,12.0
194.0,188.0,1.0,1.0,0.6050093173980713,9.0
195.0,172.0,1.0,1.0,0.5287109017372131,7.0
196.0,200.0,0.0,0.0,0.0034838314168155193,200.0
197.0,200.0,0.0,0.0,0.0086274528875947,200.0
198.0,194.0,1.0,1.0,0.5565317869186401,8.0
199.0,200.0,0.0,0.0,0.0013889557449147105,200.0
200.0,141.0,1.0,1.0,0.5680118203163147,10.0
201.0,186.0,1.0,1.0,0.5542621612548828,8.0
202.0,200.0,0.0,0.0,0.004026631824672222,200.0
203.0,188.0,1.0,1.0,0.586307942867279,11.0
204.0,198.0,1.0,1.0,0.6206637620925903,9.0
205.0,192.0,1.0,1.0,0.5443158745765686,9.0
206.0,148.0,1.0,1.0,0.5415378212928772,11.0
207.0,200.0,0.0,0.0,0.001377573818899691,200.0
208.0,200.0,0.0,0.0,0.013298924081027508,200.0
209.0,189.0,1.0,1.0,0.5930282473564148,10.0
210.0,200.0,0.0,0.0,0.0030205934308469296,200.0
211.0,200.0,1.0,0.0,0.5454026460647583,6.0
212.0,186.0,1.0,1.0,0.5968818664550781,7.0
213.0,144.0,1.0,1.0,0.6179765462875366,10.0
214.0,153.0,1.0,1.0,0.5785806179046631,11.0
215.0,200.0,0.0,0.0,0.010091534815728664,200.0
216.0,187.0,1.0,1.0,0.5485777258872986,12.0
217.0,189.0,1.0,1.0,0.6360199451446533,11.0
218.0,200.0,0.0,0.0,0.0041535766795277596,200.0
219.0,200.0,0.0,0.0,0.005665691569447517,200.0
220.0,200.0,0.0,0.0,0.025673791766166687,200.0
221.0,173.0,1.0,1.0,0.6054244041442871,9.0
222.0,200.0,1.0,0.0,0.53709477186203,9.0
223.0,174.0,1.0,1.0,0.5932154655456543,10.0
224.0,189.0,1.0,1.0,0.6360199451446533,11.0
225.0,195.0,1.0,1.0,0.6426657438278198,11.0
226.0,182.0,1.0,1.0,0.5020959377288818,8.0
227.0,200.0,0.0,0.0,0.0014643191825598478,200.0
228.0,200.0,0.0,0.0,0.0022016470320522785,200.0
229.0,153.0,1.0,1.0,0.6520238518714905,11.0
230.0,200.0,0.0,0.0,0.0012918408028781414,200.0
231.0,200.0,0.0,0.0,0.0034858714789152145,200.0
232.0,200.0,0.0,0.0,0.001372385653667152,200.0
233.0,153.0,1.0,1.0,0.5538361072540283,10.0
234.0,200.0,0.0,0.0,0.0013228347525000572,200.0
235.0,198.0,1.0,1.0,0.5767038464546204,8.0
236.0,187.0,1.0,1.0,0.5287321209907532,8.0
237.0,198.0,1.0,1.0,0.6206637620925903,9.0
238.0,189.0,1.0,1.0,0.5561365485191345,12.0
239.0,200.0,0.0,0.0,0.08834807574748993,200.0
240.0,190.0,1.0,1.0,0.5765473246574402,9.0
241.0,200.0,0.0,0.0,0.018825368955731392,200.0
242.0,157.0,1.0,1.0,0.5792791247367859,10.0
243.0,190.0,1.0,1.0,0.5765473246574402,9.0
244.0,181.0,1.0,1.0,0.6542385816574097,10.0
245.0,200.0,0.0,0.0,0.003899881849065423,200.0
246.0,195.0,1.0,1.0,0.5281884074211121,10.0
247.0,200.0,0.0,0.0,0.009830811992287636,200.0
248.0,200.0,0.0,0.0,0.018756160512566566,200.0
249.0,150.0,1.0,1.0,0.5406716465950012,12.0
250.0,139.0,1.0,1.0,0.5772327184677124,10.0
251.0,146.0,1.0,1.0,0.5645121932029724,11.0
252.0,200.0,0.0,0.0,0.001490604248829186,200.0
253.0,169.0,1.0,1.0,0.5002038478851318,12.0
254.0,200.0,0.0,0.0,0.007894863374531269,200.0
255.0,200.0,0.0,0.0,0.002077767625451088,200.0
256.0,178.0,1.0,1.0,0.504429042339325,8.0
257.0,200.0,0.0,0.0,0.0013927184045314789,200.0
258.0,182.0,1.0,1.0,0.5891916751861572,7.0
259.0,166.0,1.0,1.0,0.5796505212783813,11.0
